City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
pitiquito,0.0,MX,1637037018.0,23.0,30.7,-112.0833,69.37,2.66
zaysan,100.0,KZ,1637037023.0,73.0,47.4667,84.8667,30.24,6.24
samarai,86.0,PG,1637037023.0,74.0,-10.6167,150.6667,85.05,12.17
sisimiut,99.0,GL,1637037024.0,86.0,66.9395,-53.6735,16.32,5.17
biltine,30.0,TD,1637037024.0,20.0,14.5333,20.9167,71.8,8.68
ridgecrest,75.0,US,1637037024.0,18.0,35.6225,-117.6709,69.66,1.99
yeniseysk,100.0,RU,1637036851.0,88.0,58.4497,92.1703,11.28,7.67
anadyr,75.0,RU,1637037025.0,80.0,64.75,177.4833,27.1,8.95
shingu,40.0,JP,1637037025.0,49.0,33.7333,135.9833,68.99,2.98
acapulco,8.0,MX,1637037026.0,73.0,16.8634,-99.8901,75.69,4.0
kalamb,95.0,IN,1637037026.0,56.0,19.05,73.95,79.88,14.12
kaitangata,88.0,NZ,1637037027.0,42.0,-46.2817,169.8464,60.93,14.41
cururupu,35.0,BR,1637037027.0,90.0,-1.8283,-44.8683,75.94,4.05
shubarkuduk,87.0,KZ,1637037027.0,82.0,49.1447,56.4872,19.44,14.03
ayan,82.0,RU,1637037028.0,60.0,56.45,138.1667,15.67,13.91
cody,1.0,US,1637037028.0,28.0,44.5263,-109.0565,61.02,12.66
ulladulla,19.0,AU,1637037029.0,51.0,-35.35,150.4667,69.76,9.42
bat yam,0.0,IL,1637037029.0,58.0,32.0231,34.7503,64.63,2.3
kruisfontein,99.0,ZA,1637037029.0,69.0,-34.0033,24.7314,63.88,16.8
bilma,38.0,NE,1637037030.0,20.0,18.6853,12.9164,73.33,6.15
pitimbu,18.0,BR,1637037030.0,79.0,-7.4706,-34.8086,79.39,12.86
hofn,46.0,IS,1637037031.0,72.0,64.2539,-15.2082,39.49,31.21
baguio,77.0,PH,1637036891.0,62.0,16.4164,120.5931,72.79,2.55
turayf,0.0,SA,1637037031.0,76.0,31.6725,38.6637,46.65,4.61
faanui,100.0,PF,1637037032.0,73.0,-16.4833,-151.75,81.23,6.71
bondo,89.0,CD,1637037032.0,98.0,3.8146,23.6866,69.17,0.78
hargeysa,22.0,SO,1637037033.0,52.0,9.56,44.065,68.07,3.02
soluno-dmitriyevskoye,88.0,RU,1637037034.0,86.0,44.4031,42.7278,29.75,7.43
atar,99.0,MR,1637037034.0,33.0,20.5169,-13.0499,76.78,5.82
mani,79.0,CO,1637037035.0,70.0,4.8172,-72.2886,75.49,5.46
rawson,0.0,AR,1637036766.0,51.0,-43.3002,-65.1023,49.93,7.36
carbonia,100.0,IT,1637036855.0,92.0,39.1672,8.5222,52.75,6.69
correntina,100.0,BR,1637037036.0,86.0,-13.3433,-44.6367,67.55,6.29
ginir,32.0,ET,1637037036.0,61.0,7.1333,40.7,63.75,1.72
lorengau,99.0,PG,1637037025.0,78.0,-2.0226,147.2712,81.88,3.83
kavaratti,91.0,IN,1637037037.0,77.0,10.5669,72.642,81.45,12.93
cherskiy,100.0,RU,1637037037.0,82.0,68.75,161.3,21.74,6.51
sitka,20.0,US,1637037038.0,86.0,57.0531,-135.33,31.89,5.75
masunga,73.0,BW,1637037039.0,39.0,-20.6246,27.4488,77.22,17.58
kholmy,34.0,UA,1637037039.0,84.0,51.871,32.6006,25.2,5.46
hualmay,99.0,PE,1637037040.0,83.0,-11.0964,-77.6139,63.9,8.48
egvekinot,100.0,RU,1637037040.0,90.0,66.3167,-179.1667,7.25,6.62
yagodnoye,99.0,RU,1637037040.0,99.0,62.55,149.6667,-1.57,3.4
phan thiet,100.0,VN,1637037041.0,71.0,10.9333,108.1,84.38,6.76
baraya,93.0,CO,1637037041.0,85.0,3.1533,-75.0531,70.99,3.71
caravelas,98.0,BR,1637037042.0,72.0,-17.7125,-39.2481,73.45,9.17
beloha,33.0,MG,1637037042.0,59.0,-25.1667,45.05,77.76,10.4
zhangye,97.0,CN,1637037042.0,21.0,38.9342,100.4517,40.28,7.56
lagoa vermelha,99.0,BR,1637037043.0,85.0,-28.2086,-51.5258,60.93,8.59
shangzhi,14.0,CN,1637037043.0,77.0,45.2167,127.9667,34.21,12.01
saint-georges,59.0,GF,1637037044.0,99.0,3.9,-51.8,72.46,2.19
halifax,53.0,CA,1637036999.0,84.0,44.6453,-63.5724,43.0,8.01
kautokeino,67.0,NO,1637037045.0,90.0,69.0125,23.0412,18.95,3.29
ust-karsk,24.0,RU,1637037045.0,53.0,52.7011,118.8077,32.68,2.71
grand gaube,36.0,MU,1637036854.0,63.0,-20.0064,57.6608,81.37,8.01
horta,18.0,PT,1637037045.0,85.0,38.5333,-28.6333,66.63,15.23
anloga,15.0,GH,1637037046.0,79.0,5.7947,0.8973,81.54,11.39
beyneu,100.0,KZ,1637037046.0,84.0,45.3167,55.2,34.34,14.99
verkhnetulomskiy,95.0,RU,1637037047.0,91.0,68.6073,31.7962,32.13,11.12
kobryn,0.0,BY,1637037048.0,90.0,52.2138,24.3564,39.15,8.28
mitsamiouli,20.0,KM,1637037049.0,65.0,-11.3847,43.2844,80.89,4.61
ilulissat,40.0,GL,1637037049.0,57.0,69.2167,-51.1,15.82,9.22
narsaq,0.0,GL,1637037050.0,71.0,60.9167,-46.05,12.42,8.43
chuy,7.0,UY,1637037050.0,95.0,-33.6971,-53.4616,64.67,9.22
montecristi,90.0,EC,1637037051.0,88.0,-1.05,-80.6667,67.82,11.5
chivay,100.0,PE,1637037051.0,31.0,-15.6383,-71.6011,49.66,3.13
quibor,47.0,VE,1637037051.0,90.0,9.9287,-69.6201,72.57,3.06
juan lacaze,75.0,UY,1637037052.0,90.0,-34.4342,-57.4381,68.11,4.36
srednekolymsk,92.0,RU,1637037052.0,99.0,67.45,153.6833,-2.49,6.08
okhotsk,34.0,RU,1637037053.0,81.0,59.3833,143.3,13.8,17.29
sorland,100.0,NO,1637036771.0,89.0,67.667,12.6934,44.67,29.75
taoudenni,96.0,ML,1637037053.0,21.0,22.6783,-3.9836,68.4,5.88
kovernino,99.0,RU,1637037055.0,87.0,57.1253,43.8142,25.02,14.65
horsham,6.0,AU,1637036818.0,32.0,-36.7167,142.2,67.17,9.08
vila franca do campo,83.0,PT,1637037055.0,82.0,37.7167,-25.4333,66.61,10.38
terrace,75.0,CA,1637036793.0,93.0,54.5163,-128.6035,33.71,0.0
high level,90.0,CA,1637037056.0,100.0,58.5169,-117.136,15.91,10.36
hithadhoo,29.0,MV,1637037056.0,74.0,-0.6,73.0833,82.65,14.74
severo-kurilsk,75.0,RU,1637037057.0,61.0,50.6789,156.125,35.01,24.29
tres arroyos,92.0,AR,1637037057.0,95.0,-38.3739,-60.2798,50.31,9.48
ca mau,100.0,VN,1637037058.0,95.0,9.1769,105.15,76.75,3.38
mujiayingzi,0.0,CN,1637037058.0,38.0,42.1167,118.7833,43.65,4.59
kandrian,100.0,PG,1637037061.0,82.0,-6.2167,149.55,80.91,3.6
sola,99.0,VU,1637037061.0,72.0,-13.8833,167.55,81.63,8.1
quatre cocos,42.0,MU,1637037061.0,61.0,-20.2078,57.7625,81.09,10.45
puri,37.0,IN,1637037062.0,78.0,19.8,85.85,80.38,10.36
brewster,1.0,US,1637037062.0,77.0,41.3973,-73.6171,40.89,1.99
sidi ali,17.0,DZ,1637037064.0,74.0,36.0998,0.4206,53.85,6.67
beringovskiy,100.0,RU,1637037064.0,96.0,63.05,179.3167,27.66,11.12
maceio,75.0,BR,1637037064.0,88.0,-9.6658,-35.7353,78.24,2.3
maturin,89.0,VE,1637037065.0,97.0,9.75,-63.1767,71.2,4.09
fairbanks,90.0,US,1637037065.0,81.0,64.8378,-147.7164,-2.4,0.0
olafsvik,98.0,IS,1637037066.0,77.0,64.8945,-23.7142,40.41,17.22
metro,85.0,ID,1637037066.0,58.0,-5.1131,105.3067,88.07,3.09
mora,95.0,CM,1637037066.0,27.0,11.0461,14.1401,73.63,3.76
pacific grove,1.0,US,1637037010.0,90.0,36.6177,-121.9166,63.28,1.99
burns lake,54.0,CA,1637036953.0,98.0,54.2331,-125.7533,17.02,1.79
pangkalanbuun,99.0,ID,1637037067.0,72.0,-2.6833,111.6167,83.68,1.01
san carlos del zulia,87.0,VE,1637037068.0,92.0,9.0,-71.9135,73.9,3.06
jalor,0.0,IN,1637037068.0,20.0,25.35,72.6167,79.36,5.61
yamethin,90.0,MM,1637037068.0,74.0,20.4333,96.15,82.36,6.55
mirabad,0.0,AF,1637037069.0,34.0,30.4362,61.8383,60.13,5.68
waddan,3.0,LY,1637037069.0,41.0,29.1614,16.139,60.35,5.48
kharp,51.0,RU,1637037070.0,92.0,66.8014,65.8081,2.25,8.16
solano,35.0,CO,1637037070.0,87.0,0.6994,-75.2535,72.61,1.97
apeldoorn,90.0,NL,1637037071.0,91.0,52.21,5.9694,43.05,1.14
lavrentiya,96.0,RU,1637037071.0,88.0,65.5833,-171.0,14.27,7.61
namibe,99.0,AO,1637037072.0,75.0,-15.1961,12.1522,74.77,6.8
hervey bay,3.0,AU,1637037072.0,63.0,-25.2986,152.8535,86.04,13.91
muriwai beach,74.0,NZ,1637037072.0,74.0,-36.8167,174.45,69.8,12.33
mana,52.0,GF,1637037073.0,89.0,5.6592,-53.7767,76.75,8.37
havoysund,98.0,NO,1637037073.0,85.0,70.9963,24.6622,40.08,16.73
chumikan,12.0,RU,1637037074.0,71.0,54.7183,135.315,16.52,20.98
cave,100.0,IT,1637037074.0,94.0,41.8167,12.9338,53.8,1.99
marrakesh,0.0,MA,1637037085.0,53.0,31.6315,-8.0083,50.07,1.14
namie,99.0,JP,1637037089.0,81.0,37.4833,141.0,59.72,3.98
caetes,51.0,BR,1637037089.0,79.0,-8.7731,-36.6225,68.14,11.1
concepcion del uruguay,62.0,AR,1637037062.0,74.0,-32.4825,-58.2372,75.97,3.0
mukhen,52.0,RU,1637037092.0,76.0,48.1,136.1,28.08,11.03
araouane,18.0,ML,1637037092.0,31.0,18.9048,-3.5265,70.21,9.84
fukue,75.0,JP,1637037093.0,52.0,32.6881,128.8419,66.56,8.05
jhargram,9.0,IN,1637037093.0,57.0,22.45,86.9833,78.64,7.09
chulym,69.0,RU,1637037093.0,93.0,55.0997,80.9572,6.4,2.86
port arthur,1.0,US,1637037094.0,100.0,29.8988,-93.9288,66.22,6.91
alindao,96.0,CF,1637037094.0,95.0,5.0267,21.2088,71.37,3.09
boa vista,0.0,BR,1637037095.0,65.0,2.8197,-60.6733,82.38,14.97
bronnoysund,90.0,NO,1637037095.0,87.0,65.4625,12.1997,44.67,23.02
port lincoln,42.0,AU,1637037095.0,54.0,-34.7333,135.8667,59.92,11.9
dinghai,100.0,CN,1637037097.0,74.0,26.2847,119.7936,67.12,13.31
santa rosa,93.0,BO,1637037097.0,90.0,-14.1667,-66.8833,75.67,2.71
broken hill,18.0,AU,1637037098.0,30.0,-31.95,141.4333,67.71,12.66
luba,57.0,GQ,1637037098.0,83.0,3.4568,8.5547,79.39,6.17
honavar,86.0,IN,1637037099.0,69.0,14.2833,74.45,85.19,3.78
taldan,16.0,RU,1637037099.0,49.0,53.6667,124.8,24.69,4.83
san policarpo,69.0,PH,1637036934.0,78.0,12.1791,125.5072,83.62,12.73
ippy,75.0,CF,1637037100.0,92.0,6.2679,21.2247,69.21,3.0
ambanja,6.0,MG,1637037100.0,72.0,-13.6833,48.45,81.66,2.37
constantine,40.0,DZ,1637037101.0,81.0,36.365,6.6147,47.61,5.75
umm lajj,0.0,SA,1637037102.0,62.0,25.0213,37.2685,75.29,8.3
half moon bay,90.0,US,1637037080.0,93.0,37.4636,-122.4286,60.62,1.01
kalianget,99.0,ID,1637037103.0,70.0,-7.05,113.9333,84.09,10.58
ariquemes,100.0,BR,1637037103.0,99.0,-9.9133,-63.0408,72.3,0.09
jacksonville,1.0,US,1637037040.0,76.0,30.3322,-81.6556,55.4,0.0
dhidhdhoo,88.0,MV,1637037105.0,80.0,6.8833,73.1,81.52,17.65
coahuayana,83.0,MX,1637037106.0,69.0,18.7333,-103.6833,85.48,3.91
ndele,54.0,CF,1637037107.0,65.0,8.4109,20.6473,71.04,3.02
lincoln,85.0,AR,1637037107.0,70.0,-34.8665,-61.5302,61.0,19.08
griffith,0.0,AU,1637037014.0,38.0,-34.2833,146.0333,66.34,8.05
inhambane,40.0,MZ,1637037108.0,83.0,-23.865,35.3833,78.78,16.11
pombas,100.0,CV,1637037108.0,79.0,17.1503,-25.0201,71.38,7.36
rafaela,75.0,AR,1637037110.0,86.0,-31.2503,-61.4867,74.05,12.46
awbari,12.0,LY,1637037110.0,62.0,26.5921,12.7805,59.59,4.74
sheridan,1.0,US,1637037111.0,29.0,44.8333,-106.9173,65.66,1.99
machinga,97.0,MW,1637037111.0,66.0,-15.1685,35.3,74.91,3.94
goiatuba,100.0,BR,1637037111.0,89.0,-18.0125,-49.3547,66.52,7.25
casablanca,0.0,MA,1637036835.0,74.0,33.5928,-7.6192,54.75,3.13
esperanca,42.0,BR,1637037112.0,93.0,-7.0331,-35.8572,71.98,10.56
taseyevo,100.0,RU,1637037112.0,85.0,57.2169,94.8978,26.67,11.07
nishihara,75.0,JP,1637037113.0,62.0,26.1842,127.7558,74.86,10.36
nyurba,100.0,RU,1637037113.0,94.0,63.2842,118.3319,11.82,3.51
mount isa,4.0,AU,1637037066.0,14.0,-20.7333,139.5,87.57,8.05
srivardhan,100.0,IN,1637037125.0,59.0,18.0333,73.0167,87.48,6.26
raudeberg,100.0,NO,1637037125.0,84.0,61.9875,5.1352,48.96,10.0
santa ana,100.0,GT,1637037127.0,99.0,16.8,-89.8333,67.78,1.81
bad salzungen,32.0,DE,1637037127.0,96.0,50.8167,10.2333,40.46,1.99
buraydah,1.0,SA,1637037128.0,43.0,26.326,43.975,61.25,10.16
mezen,100.0,RU,1637037128.0,97.0,65.8522,44.24,28.81,6.73
aklavik,100.0,CA,1637037129.0,95.0,68.2191,-135.0107,0.43,5.12
kisangani,97.0,CD,1637037129.0,99.0,0.5167,25.2,71.33,1.45
santa isabel,0.0,MX,1637037130.0,27.0,28.3833,-113.35,65.16,2.42
sakurai,26.0,JP,1637037130.0,48.0,34.5,135.85,68.02,6.42
hanzhong,100.0,CN,1637037131.0,79.0,33.0728,107.0303,51.17,0.6
sangar,74.0,RU,1637037131.0,98.0,63.9242,127.4739,-17.43,2.28
thinadhoo,65.0,MV,1637037131.0,75.0,0.5333,72.9333,82.63,17.31
ganlose,97.0,DK,1637037132.0,88.0,55.7912,12.2642,44.19,3.62
batsfjord,100.0,NO,1637037132.0,96.0,70.6345,29.7185,35.82,7.76
aguimes,75.0,ES,1637037133.0,69.0,27.9054,-15.4461,65.03,10.36
san cristobal,63.0,EC,1637037133.0,81.0,-0.9045,-89.6174,68.61,11.03
panaba,88.0,MX,1637037133.0,79.0,21.2833,-88.2667,68.85,7.43
skjervoy,77.0,NO,1637037134.0,79.0,70.0311,20.9714,43.03,18.45
lososina,27.0,RU,1637037134.0,37.0,48.9975,140.3106,29.77,9.04
vestmannaeyjar,100.0,IS,1637037135.0,75.0,63.4427,-20.2734,39.83,30.76
verkhneyarkeyevo,99.0,RU,1637037135.0,95.0,55.4505,54.3145,13.71,8.59
omsukchan,100.0,RU,1637037136.0,97.0,62.5333,155.8,6.78,6.06
rosarito,2.0,MX,1637037136.0,64.0,32.3333,-117.0333,68.14,7.09
kishi,47.0,NG,1637037137.0,71.0,9.0833,3.85,74.44,4.9
horn lake,20.0,US,1637037137.0,78.0,34.9554,-90.0348,58.24,8.99
sarakhs,100.0,IR,1637037138.0,29.0,36.5449,61.1577,59.0,9.51
sibiti,100.0,CG,1637037139.0,100.0,-3.6819,13.3499,68.7,1.25
klamath falls,90.0,US,1637037076.0,88.0,42.2249,-121.7817,46.85,1.01
ust-nera,100.0,RU,1637037141.0,98.0,64.5667,143.2,7.92,3.4
tessalit,2.0,ML,1637037144.0,32.0,20.1986,1.0114,66.92,6.11
ajdabiya,95.0,LY,1637037167.0,78.0,30.7554,20.2263,64.13,5.88
iroquois falls,99.0,CA,1637037169.0,91.0,48.7669,-80.6831,24.94,8.21
pudozh,100.0,RU,1637037169.0,88.0,61.8099,36.5345,37.27,14.43
baracoa,92.0,CU,1637037170.0,85.0,20.3467,-74.4958,78.48,8.68
poronaysk,99.0,RU,1637037170.0,49.0,49.2167,143.1167,30.04,9.71
umm kaddadah,0.0,SD,1637037171.0,30.0,13.6017,26.6876,71.71,12.5
palmas,75.0,BR,1637037038.0,88.0,-10.2128,-48.3603,76.87,6.91
agirish,80.0,RU,1637037172.0,83.0,61.9247,63.0231,17.67,11.86
najran,1.0,SA,1637037172.0,31.0,17.4924,44.1277,57.85,2.37
banfora,97.0,BF,1637037172.0,35.0,10.6333,-4.7667,74.25,1.72
koungou,0.0,YT,1637037173.0,83.0,-12.7336,45.2042,80.31,3.44
qasigiannguit,99.0,GL,1637037173.0,89.0,68.8193,-51.1922,16.05,6.53
capaci,0.0,IT,1637037174.0,87.0,38.1711,13.2393,60.26,1.99
vredendal,74.0,ZA,1637037174.0,78.0,-31.6683,18.5012,62.56,4.43
muros,66.0,ES,1637037174.0,84.0,42.7762,-9.0603,54.84,13.18
wangou,2.0,CN,1637037175.0,43.0,42.0623,126.9127,37.69,3.89
maningrida,100.0,AU,1637037175.0,34.0,-12.0667,134.2667,91.85,8.05
verkhoyansk,100.0,RU,1637037176.0,98.0,67.5447,133.385,-6.86,2.17
banyo,94.0,CM,1637037176.0,72.0,6.75,11.8167,67.82,2.1
pandamatenga,5.0,BW,1637037177.0,42.0,-18.5278,25.627,76.51,9.8
kadipur,0.0,IN,1637037177.0,42.0,26.1667,82.3833,76.28,3.51
south yarmouth,1.0,US,1637037177.0,68.0,41.6668,-70.1847,44.78,5.99
manaus,75.0,BR,1637036970.0,100.0,-3.1019,-60.025,79.3,10.36
kanniyakumari,79.0,IN,1637037178.0,75.0,8.0833,77.5667,82.71,14.61
oranjestad,40.0,AW,1637037178.0,78.0,12.524,-70.027,82.35,14.97
buala,81.0,SB,1637037179.0,68.0,-8.145,159.5921,84.83,5.64
williams lake,90.0,CA,1637037179.0,73.0,52.1415,-122.1445,29.77,3.0
ferme-neuve,78.0,CA,1637037180.0,92.0,46.7001,-75.4493,33.58,7.2
magadan,100.0,RU,1637036929.0,74.0,59.5667,150.8,24.53,9.57
novyy urengoy,100.0,RU,1637037180.0,96.0,66.0833,76.6333,5.63,8.66
kasama,29.0,ZM,1637037181.0,53.0,-10.2129,31.1808,71.89,6.69
turukhansk,98.0,RU,1637037181.0,96.0,65.8167,87.9833,-8.09,7.02
maryborough,14.0,AU,1637037182.0,39.0,-25.5333,152.7,85.57,8.08
lompoc,40.0,US,1637037182.0,97.0,34.6391,-120.4579,59.11,5.75
pisco,97.0,PE,1637037183.0,82.0,-13.7,-76.2167,63.01,5.75
gazojak,100.0,TM,1637037183.0,55.0,41.1875,61.4036,46.58,10.11
aksha,100.0,RU,1637037183.0,39.0,50.2814,113.2867,34.7,1.59
moron de la frontera,0.0,ES,1637037184.0,77.0,37.1208,-5.454,48.49,2.3
cabedelo,14.0,BR,1637037185.0,81.0,-6.9811,-34.8339,79.47,11.56
santa cruz del sur,100.0,CU,1637037185.0,85.0,20.7147,-77.9956,76.15,14.92
killybegs,100.0,IE,1637037185.0,86.0,54.6333,-8.45,49.44,16.35
copiapo,0.0,CL,1637037186.0,65.0,-27.3667,-70.3333,53.29,1.48
shush,100.0,IR,1637037187.0,30.0,32.1942,48.2436,68.88,2.73
khargapur,4.0,IN,1637037187.0,38.0,24.823,79.144,73.78,6.6
paamiut,5.0,GL,1637037188.0,73.0,61.994,-49.6678,8.58,6.64
asosa,56.0,ET,1637037188.0,49.0,10.0667,34.5333,64.71,4.56
viedma,77.0,AR,1637037189.0,67.0,-40.8135,-62.9967,50.07,12.86
winnemucca,1.0,US,1637037189.0,30.0,40.973,-117.7357,57.25,4.61
shimoda,64.0,JP,1637037189.0,61.0,34.6667,138.95,66.56,4.0
kribi,100.0,CM,1637037190.0,89.0,2.95,9.9167,77.2,4.83
caibarien,100.0,CU,1637036943.0,81.0,22.5206,-79.4669,74.52,17.36
namatanai,91.0,PG,1637037191.0,72.0,-3.6667,152.4333,84.11,8.79
darhan,100.0,MN,1637037191.0,35.0,49.4867,105.9228,36.86,5.17
udachnyy,100.0,RU,1637037191.0,96.0,66.4167,112.4,2.77,1.48
kushmurun,90.0,KZ,1637037192.0,97.0,52.4503,64.6311,7.92,3.31
todos santos,100.0,MX,1637037192.0,73.0,23.45,-110.2167,79.39,4.0
alice springs,1.0,AU,1637036937.0,17.0,-23.7,133.8833,81.95,10.36
mandurah,83.0,AU,1637037193.0,72.0,-32.55,115.7,75.15,8.93
marsh harbour,97.0,BS,1637037194.0,64.0,26.5412,-77.0636,74.5,17.34
paita,54.0,PE,1637037194.0,86.0,-5.0892,-81.1144,62.29,8.5
muborak,82.0,UZ,1637037160.0,39.0,39.2553,65.1528,52.95,9.8
kosino,100.0,RU,1637037195.0,88.0,58.4127,51.2782,21.45,14.85
lalmohan,44.0,BD,1637037199.0,62.0,22.3384,90.7419,78.19,10.51
nome,1.0,US,1637037200.0,62.0,64.5011,-165.4064,12.27,9.22
constitucion,98.0,MX,1637037201.0,37.0,23.9912,-104.6749,61.14,4.32
iquique,59.0,CL,1637037037.0,69.0,-20.2208,-70.1431,64.44,1.52
taos,1.0,US,1637037201.0,39.0,36.4072,-105.5731,49.6,5.99
qiryat shemona,4.0,IL,1637037202.0,45.0,33.2073,35.5721,66.0,3.13
ketchikan,20.0,US,1637037202.0,86.0,55.3422,-131.6461,34.27,4.61
klaksvik,100.0,FO,1637037204.0,96.0,62.2266,-6.589,49.12,30.98
sobolevo,55.0,RU,1637037204.0,92.0,54.4299,31.8996,24.75,7.16
batemans bay,21.0,AU,1637037008.0,52.0,-35.7167,150.1833,73.2,8.7
ambilobe,5.0,MG,1637037206.0,56.0,-13.2,49.05,84.22,6.78
rayagada,52.0,IN,1637037207.0,76.0,19.1667,83.4167,82.02,3.27
klos,59.0,AL,1637037207.0,85.0,41.5072,20.0851,47.35,8.1
kieta,99.0,PG,1637037208.0,72.0,-6.2167,155.6333,84.13,4.16
bilibino,100.0,RU,1637037208.0,96.0,68.0546,166.4372,5.7,3.78
canakkale,100.0,TR,1637037210.0,84.0,40.0833,26.8333,50.61,14.45
jozefow,90.0,PL,1637037211.0,90.0,52.1371,21.2359,43.09,8.05
lesnoy,44.0,RU,1637037211.0,86.0,57.6198,63.0784,15.6,9.73
pathalgaon,30.0,IN,1637037211.0,63.0,22.5667,83.4667,76.95,6.46
warri,81.0,NG,1637037214.0,94.0,5.5167,5.75,75.34,3.56
deputatskiy,100.0,RU,1637037214.0,97.0,69.3,139.9,-0.67,3.06
puerto leguizamo,91.0,CO,1637037215.0,91.0,-0.1934,-74.7819,72.82,2.42
olesno,4.0,PL,1637037215.0,90.0,50.877,18.4209,41.68,6.69
springbok,0.0,ZA,1637037215.0,28.0,-29.6643,17.8865,63.54,2.62
jining,0.0,CN,1637037216.0,40.0,35.405,116.5814,61.27,4.07
zhigansk,82.0,RU,1637037216.0,100.0,66.7697,123.3711,-23.96,0.31
tapa,86.0,EE,1637037217.0,91.0,59.2606,25.9586,39.38,8.93
lasem,100.0,ID,1637037217.0,71.0,-6.6922,111.4527,82.69,3.18
vendome,100.0,FR,1637037218.0,98.0,47.8,1.0667,44.29,4.68
quba,100.0,AZ,1637037218.0,85.0,41.3626,48.5152,30.34,18.84
lugovoy,100.0,RU,1637037219.0,81.0,58.35,45.5,25.75,14.45
